Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Seksyen 14, Petaling Jaya",1280000,Petaling Jaya, Selangor,4,"Seksyen 14, 46100, Selangor",Leasehold,Unfurnished,3000,[],2,3.0,1-sty Terrace/Link House,426.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2j6s6ba21106-71c7-43dc-9aac-de270bf223f1_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-d70u9ea7de9f-7b13-47da-a210-da0190495355_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ycym5fee01a1-6e98-4174-af57-0a385fb7b354_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mq5y8e6f706e-a2d5-49ab-9e43-570f38276543_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tz4y926f2d75-e72d-4944-929e-90431f95fe96_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0dg08568a29b-08ab-4af4-b80c-f1b08b97ec32_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-km5d198a224e-137e-4811-b4bf-506d2738407c_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-njuc2087bad5-60c5-4ecf-a9b5-c301d04b2a80_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gchd1554ea5d-b2f9-4ec5-9b57-7787d099e96d_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mmm1c42bdbfa-a3a7-4316-ae82-353979f9022f_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-cfq8d189ff71-63ba-465c-9b14-c6020adae2a9_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ufskdfda8116-d9c7-4864-8c80-89d9c8d91a92_693x1155.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jwqg5a90464b-dc79-4db1-8428-8feafdadad27_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2r4s78fa21e1-a448-49c9-b0f8-44dab0ffcf98_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7x1ba0f8336d-852c-48d0-b520-1dd84a90f5b1_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3swm52615c05-8bea-4cd9-99d4-6ea29e2da4dd_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j5u3b5537f69-08e1-4276-a688-031681b63b8b_876x1224.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-oa90b6361f24-b461-4521-83bd-86a86f5f1cb4_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hys7d2aec85e-f989-4b3b-8a28-76f79f438455_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-61w026062e21-6268-406b-91dc-6da9ac7ca816_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hxmrdfb654c5-6b64-40cc-9912-b110639bd89c_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ghkw7eb67244-6fa9-4e13-88d9-7818be44fcdd_856x1270.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mjx97679f966-8f15-4d76-8134-ecf3d077f68c_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2h88a0a86474-1b76-4caf-86e1-6d8bd6fddc32_960x1187.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-sweg0a600077-0e98-405f-8c2c-80aa1dfe5223_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g99355753463-b2b9-4dfe-8d5c-8b8e794015eb_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jk65f4631b10-33b6-453b-80fb-7fba2e8d3d46_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gfdbc8493422-38f4-4e5f-841c-66725b6cfc57_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-m91i700b3195-7dd9-4c6d-ab78-24f827470b18_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rt9h8d676972-a501-40c5-ab51-b3a0685da66e_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2q8017ea072d-c3b3-41c5-90a4-1036cb58b63c_960x1280.jpeg'}"
"Taman Kelana, Kapar",460000,Kapar, Selangor,4,"Jalan Kapar Batu 5 Klang Non Flood, Taman Kelana, 42000, Selangor",Leasehold,Unfurnished,1700,['Playground'],2,,1-sty Terrace/Link House,270.59,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mej381ae63b2-d169-49e6-957d-89793ffec794_2560x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-w4h9b1c53e09-6e9b-47b9-94a3-4f4498993192_2560x2559.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y6ymf6d1cbb8-1a5f-404d-8a8e-6b7e4464b998_2560x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tju0d5f1ddac-ce13-432a-b4d9-97180e3420db_1080x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bpn98c8027ca-89fa-4cf0-8c73-c218386a91fd_2560x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8x3ta9237ce7-5232-4f44-ab1a-d5bdc3af83d5_2559x2560.jpeg'}"
"Taman Perling, Perling",568000,Perling, Johor,3,"Jalan Simbang, Taman Perling, Taman Perling, 81200, Johor",Freehold,Unfurnished,1650,[],2,,1-sty Terrace/Link House,344.24,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-iqub008e847f-60dc-4833-a6a3-5a6823bdf9b4_950x712.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-sm5i52f6f068-432a-4fcf-a83c-3b38d592bf3f_810x607.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-plwm21a1dbdf-f50a-474c-b874-ec339d7edbab_800x600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-heqaa7fdb10b-9f90-4ebc-8c76-e3d2a4f0c298_945x709.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6l9sf8c27cc4-35cf-4dfe-be45-b071d8121fe0_761x571.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-l3xkae87368d-ee16-4825-b4fe-9ff085c7d9c4_796x597.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3tq4298b3c69-f967-4962-9da0-55006062443a_1043x782.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-p24t53a03c0d-379c-4bd0-93ad-95c27ecf9ec2_947x710.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g3f044cbb61b-09ac-4f5a-8cae-e18f341a5fd3_946x709.jpeg'}"
Jalan Ipoh,680000,Jalan Ipoh, Kuala Lumpur,3,"Taman Kok Lian, 51200, Kuala Lumpur",Freehold,Unfurnished,1442,[],2,,1-sty Terrace/Link House,471.57,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hhxj02b32bbd-1293-47de-84a7-696712871ae4_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pnaiddc1072a-9ea4-485e-ae49-bb2e1bd72c0b_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3d1x5f5eca4d-9d64-4e81-9e44-42014c436538_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qbfada86b38d-7326-40fb-a11e-32342d3e1365_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-epsh93d6057f-af9e-4e5c-bac1-5dc67745be74_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-a8wgb8c2b8a7-81e5-4957-89a8-be17b38dc32d_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uupaac8975c4-5b7b-4cc6-bc66-29f9f1fc9829_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-12socaba9100-178e-4c1d-8243-272b65cace67_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nh0z3814320d-cd86-48a4-95d4-b8e5246795e2_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xfcf1bd0440d-43b2-46c3-930e-f0e93fd60d4a_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i5re20b8648c-9da2-4251-b95d-f427d566d064_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2ttl4c6a20db-ea99-42fa-9ace-4688bd0a42cd_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fe1j90ed7393-c01a-4b62-ba3d-f8fbc62281eb_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ktha1efba83d-1e65-424a-aea7-8a69dc039ef5_3024x4032.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4qx235d5a8e4-2e89-4490-9ffe-844a73e7bc53_3024x4032.jpeg'}"
"S D2, Sd2, Bandar Sri Damansara, Kepong, Aman Puri, Kepong",618000,Kepong, Kuala Lumpur,3,"S D2 Sd2, Bandar Sri Damansara, Kepong, Aman Puri, Desa Jaya, Taman Ehsan, S D2, Sd2, Bandar Sri Damansara, Kepong, Aman Puri, 52100, Kuala Lumpur",Freehold,Unfurnished,1000,['Kitchen Cabinet'],2,,1-sty Terrace/Link House,618.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qfqyb002ebd4-166b-4d4b-ae85-ec358caf973b_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hz2kfa508b90-b875-4d91-97c2-b7aac32d0f86_750x1000.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-acjq516a551b-e172-496f-8065-2fe5dd69ab4f_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-e8o3f7f87e43-35d9-4abb-a699-605e7c45e4dd_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dthfaff28a16-1554-4ada-b006-9e08acc21719_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lwhp3aa1f72a-463b-4773-88b4-3f50a2b32862_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-b6o5aea7f8f3-3f03-4e93-8808-aff7a9f391ca_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-da5045348d2d-f819-4fea-b034-a31a0adc6801_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zvlcb360a726-3fad-44f6-9c74-23edfd67a81c_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s6nt9fc151d0-899e-4889-88af-714f0afeba58_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dasd7db7343b-1a7b-4684-baa1-fefedf7188f6_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-oytbfc1cb8b3-e46d-43e0-97bd-de29b8bf0d66_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hvkm4ca5c4f0-4474-4d02-9dac-eb54dde3daf7_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6mxd2075c9be-108e-46fd-90ae-d1b950ef36c3_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-nvgdfd40d087-4b85-4ca4-8e0f-42f92fc74625_960x1280.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jzfr789d8d84-df16-465c-83fc-d65c7027ca2f_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-irtee9f9ddeb-cbb0-4106-abe7-25ab79c18ecb_960x1280.jpeg'}"
"SD 11, Bandar Sri Damansara",1100000,Bandar Sri Damansara, Selangor,4,"SD 11, SD 11, 52200, Selangor",Freehold,Unfurnished,2000,"['Kitchen Cabinet', 'Air Conditioner']",1,,1-sty Terrace/Link House,550.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-e4q985a111d1-f59e-41bd-9696-611e9398db9a_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gkch1f818f75-8992-4715-b4ce-9cc7405299ed_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gkf99f4c7701-adb9-4705-b3be-a5b6d51ed3b2_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tltr26156318-95e7-478a-91c1-4938f9296be9_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-09pda38bbb0c-021e-4699-aa20-9ff85e7138fa_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-j31z185d7c74-d5ec-42c9-ba84-747b346ed5ef_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vr5t6e15da7a-4598-4eb0-a1f2-33b1a96dff50_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-anfj33ca90e6-e48c-4221-b7b4-e6686b523cec_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9zw0cbbe8667-4938-4a9c-8b71-3ac16f789ffd_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-o0il6235f58a-d7fe-4f6b-9b19-f08b2940b4a8_1280x960.jpeg'}"
"Bangsar Baru, Bangsar",1360000,Bangsar, Kuala Lumpur,3,"Limau manis, Bangsar Baru, 59100, Kuala Lumpur",Freehold,Unfurnished,1450,"['Kitchen Cabinet', 'Garage', 'Air Conditioner', 'Garden', 'Parking']",2,2.0,1-sty Terrace/Link House,937.93,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-q6vp3d099af2-9385-43fa-91ac-cc5458358de7_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-lxmka4b196a2-6d01-4251-9e8f-6c2867c7e2c4_716x923.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dxjof8e4b3d4-3d37-49d9-ab5c-8ec776c53240_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-p64sfb19606f-95e7-4143-93c0-c1c155137a7f_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-db5nad80bb78-e652-4d40-969f-16d18cbc82ac_695x530.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9dms670e5cde-854c-468b-92ce-ca0c66f91bd8_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4zd27f235d6b-934d-4eb4-9309-0f129c49a6b0_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wysead428b32-6d01-42b1-a451-638529cd58e2_710x526.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5wnk2e9b44f6-d369-4ea4-b3e3-76ae5401337e_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1ocye5804467-ce95-4037-8d35-e93c698911a1_720x515.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-f0nod5833dd5-e0d0-45ac-938a-641c7ddd582f_701x525.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-s9u20a321183-5431-4379-a9f3-4b751b5db84b_1153x865.png'}"
"Taman Mount Austin, Tebrau",580000,Tebrau, Johor,4,"Austin Residence, Jalan Mutiara Emas, Taman Mount Austin, Taman Mount Austin, 81100, Johor",Freehold,Unfurnished,1400,[],2,,1-sty Terrace/Link House,414.29,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4xydd5ee9186-23f1-43a9-86bf-0f2e44bb836f_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yhe614557f33-d1fb-4b8e-adee-3a2535892591_809x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kp3x33dd748c-31cb-4b3c-a5ff-b6466cc2f012_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-98it501edb23-ea46-4cf2-b339-48e5b7ca7344_932x699.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hsh4304ecc86-0c49-4e3e-8ec4-bc5a378e033e_951x713.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-d9tt06daeeb4-5dd2-4503-aaa7-7236b79485ac_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-pbeeffb9d5eb-c9ca-4e87-a2e0-3554d211723d_960x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5a3944349e62-3102-4157-ad96-05d9ed6c03d6_947x710.jpeg'}"
"Taman Sentosa, Johor Bahru",650000,Johor Bahru, Johor,3,"Jalan Kasa, Taman Sentosa, Taman Sentosa, 80150, Johor",Freehold,Unfurnished,1540,[],2,,1-sty Terrace/Link House,422.08,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-1vsq435b0703-e9d5-450b-951d-d0db90488dda_834x625.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-03nee3c6f9ab-597b-45fa-ac2b-99aff92870eb_978x733.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-zymu4bb032a9-05ca-487e-9083-867504409de3_802x1070.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-getkb578ad8d-3910-4a59-9a54-0890d7727784_806x604.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fn7y4b47629d-b45c-4cd9-9715-6a74d3a80045_872x654.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-icn838d42fa4-2244-41fb-aee4-e933f5812cd1_987x740.jpeg'}"
"Taman Skudai Baru, Skudai",520000,Skudai, Johor,4,"Jalan Hang Tuah, Taman Skudai Baru, Taman Skudai Baru, 81300, Johor",Freehold,Unfurnished,1540,[],2,,1-sty Terrace/Link House,337.66,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-21sm71655795-11a5-4850-b4b1-a2c00ad3576d_800x600.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rmeld0a46f6f-d36a-4fcb-bbe5-50e675275bf2_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-o8qudd990822-474f-4812-919c-1d8d89b33c88_779x584.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hbry05ebc8b1-ec59-4c5f-8653-ee788f10e0e6_960x720.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fb4q582513e2-9733-4da6-ad86-4e9dead70e4b_943x707.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-t15m9b8654da-3a12-48e7-a913-1eeafe8b6ecd_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4tsqf837ac24-cfae-47f8-8426-b124eef1e656_810x607.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ot22cf1ef75e-6bb2-41f8-b040-7af775856423_919x689.jpeg'}"
