,Unnamed: 0,Price,District,State,Bedrooms,Tenure,Furnished Type,Size,Bathrooms,Car Slots,House Type,Price per sqft,Price per Bedroom,Room Density,District_code,State_code,Tenure_code,Furnished Type_code,House Type_code,24-Hour Security,Air Conditioner,Badminton Court,Balcony,Basketball Court,Bath Tub,Bbq,Bus Stop,Business Centre,Cafe,Clubhouse,Garage,Garden,Gym,Jacuzzi,Jogging Track,Kitchen Cabinet,Nursery,Parking,Playground,Retail Stores,Salon,Sauna,Squash Court,Swimming Pool,Tennis Courts,Wading Pool
6874,8225,13.592368256649284,cyberjaya,selangor,4.0,freehold,unfurnished,7.601402334583733,4.0,2.0,2-sty terrace/link house,400.0,200000.0,0.002,69,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6875,8226,13.560619598657233,seremban 2,negeri sembilan,4.0,freehold,unfurnished,7.775695749915245,3.0,2.0,2-sty terrace/link house,325.49,193750.0,0.0016799664006719,228,5,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
6876,8227,13.955273369904273,bandar sri damansara,selangor,4.0,freehold,unfurnished,7.496097345175956,3.0,2.0,2-sty terrace/link house,638.89,287500.0,0.0022222222222222,20,13,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
6877,8228,13.426904041847699,cheras,selangor,4.0,freehold,partly furnished,7.409136443920128,3.0,2.0,2-sty terrace/link house,410.91,169500.0,0.0024242424242424,67,13,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6878,8229,14.375126917328105,kota damansara,selangor,5.0,leasehold,unfurnished,8.071218539969863,3.0,4.0,2-sty terrace/link house,546.88,350000.0,0.0015625,127,13,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6879,8230,13.795308871054397,kota damansara,selangor,4.0,leasehold,unfurnished,7.601402334583733,3.0,2.0,2-sty terrace/link house,490.0,245000.0,0.002,127,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6880,8231,13.901689171636098,bandar sungai long,selangor,5.0,freehold,unfurnished,7.972810784121404,4.0,5.0,2-sty terrace/link house,375.86,218000.0,0.0017241379310344,22,13,0,2,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0
6881,8232,14.038654909278163,bandar menjalara,kuala lumpur,4.0,freehold,partly furnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,568.18,312500.0,0.0018181818181818,19,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6882,8233,13.3374763699232,kajang,selangor,4.0,freehold,unfurnished,7.244941546337007,3.0,2.0,2-sty terrace/link house,442.86,155000.0,0.0028571428571428,105,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6883,8234,13.235693848424024,ampang,selangor,4.0,leasehold,unfurnished,7.170888478512505,3.0,2.0,2-sty terrace/link house,430.77,140000.0,0.003076923076923,3,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6884,8235,14.062371417145494,mutiara damansara,selangor,4.0,freehold,unfurnished,7.496097345175956,3.0,2.0,2-sty terrace/link house,711.11,320000.0,0.0022222222222222,169,13,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6885,8236,13.63877457278093,subang jaya,selangor,4.0,freehold,unfurnished,7.438971592395862,2.0,2.0,2-sty terrace/link house,492.94,209500.0,0.0023529411764705,249,13,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6886,8237,13.527829818844937,puchong,selangor,3.0,freehold,unfurnished,7.3783837129967145,3.0,2.0,2-sty terrace/link house,468.75,250000.0,0.001875,197,13,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6887,8238,13.70903942580019,setia alam,selangor,4.0,freehold,unfurnished,7.650168700845001,4.0,2.0,2-sty terrace/link house,428.1,224750.0,0.0019047619047619,235,13,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
6888,8239,13.579789490265188,setia alam,selangor,4.0,freehold,partly furnished,7.8636512654486515,4.0,2.0,2-sty terrace/link house,303.85,197500.0,0.0015384615384615,235,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6889,8240,12.899222326086994,kapar,selangor,3.0,freehold,unfurnished,6.90875477931522,2.0,2.0,2-sty terrace/link house,400.0,133333.33333333334,0.003,110,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6890,8241,14.392124484065864,bangsar,kuala lumpur,4.0,freehold,unfurnished,7.650168700845001,3.0,2.0,2-sty terrace/link house,847.62,445000.0,0.0019047619047619,27,3,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6891,8243,14.669926311652166,bandar kinrara,selangor,7.0,freehold,unfurnished,8.071218539969863,5.0,2.0,2-sty terrace/link house,734.38,335714.28571428574,0.0021875,18,13,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6892,8244,13.629182184591333,shah alam,selangor,5.0,freehold,fully furnished,7.696667081526462,4.0,2.0,2-sty terrace/link house,377.27,166000.0,0.0022727272727272,237,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6893,8245,13.83531416565213,puchong,selangor,4.0,freehold,unfurnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,463.64,255000.0,0.0018181818181818,197,13,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
6894,8246,14.363632544508476,bangsar,kuala lumpur,4.0,freehold,unfurnished,7.650168700845001,3.0,2.0,2-sty terrace/link house,823.81,432500.0,0.0019047619047619,27,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6895,8247,13.45883704259595,shah alam,selangor,4.0,leasehold,unfurnished,7.650168700845001,3.0,2.0,2-sty terrace/link house,333.33,175000.0,0.0019047619047619,237,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6896,8248,13.68767832281738,puchong,selangor,4.0,freehold,unfurnished,7.3783837129967145,3.0,5.0,2-sty terrace/link house,550.0,220000.0,0.0025,197,13,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6897,8249,13.51440681653079,klang,selangor,4.0,freehold,unfurnished,7.618742377670413,3.0,2.0,2-sty terrace/link house,363.64,185000.0,0.0019656019656019,123,13,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6898,8250,13.864301674514206,cyberjaya,selangor,4.0,freehold,unfurnished,7.950502434808851,4.0,4.0,2-sty terrace/link house,370.24,262500.0,0.001410437235543,69,13,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6899,8251,14.392124484065864,sri hartamas,kuala lumpur,4.0,freehold,partly furnished,7.783640596221253,3.0,2.0,2-sty terrace/link house,741.67,445000.0,0.0016666666666666,246,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6900,8252,14.038654909278163,shah alam,selangor,5.0,leasehold,unfurnished,7.862112211662748,5.0,2.0,2-sty terrace/link house,481.51,250000.0,0.0019260400616332,237,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6901,8253,12.765691290604371,pasir panjang,negeri sembilan,4.0,freehold,unfurnished,7.313886831633462,3.0,2.0,2-sty terrace/link house,233.33,87500.0,0.0026666666666666,179,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6902,8254,13.997832948091215,petaling jaya,selangor,4.0,freehold,unfurnished,7.696667081526462,3.0,4.0,2-sty terrace/link house,545.45,300000.0,0.0018181818181818,189,13,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
6903,8255,14.137594781770806,sri petaling,kuala lumpur,5.0,leasehold,unfurnished,7.696667081526462,4.0,2.0,2-sty terrace/link house,627.27,276000.0,0.0022727272727272,247,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6904,8257,14.077875591662238,segambut,kuala lumpur,4.0,freehold,partly furnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,590.91,325000.0,0.0018181818181818,215,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6905,8259,13.45883704259595,shah alam,selangor,4.0,leasehold,unfurnished,7.549082710812286,3.0,2.0,2-sty terrace/link house,368.81,175000.0,0.0021074815595363,237,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6906,8260,13.28787951079572,puchong,selangor,4.0,leasehold,unfurnished,7.601402334583733,3.0,2.0,2-sty terrace/link house,295.0,147500.0,0.002,197,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6907,8261,13.910821646859095,subang jaya,selangor,4.0,freehold,unfurnished,7.3783837129967145,3.0,3.0,2-sty terrace/link house,687.5,275000.0,0.0025,249,13,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
