Title,Price,District,State,Bedrooms,Location,Tenure,Furnished Type,Size,Facilities,Bathrooms,Car Slots,House Type,Price per sqft,Images
"Usj 3, Subang Jaya",640000,Subang Jaya, Selangor,3.0,"Usj 3, 47600, Selangor",Freehold,Unfurnished,1300.0,[],2.0,1.0,1-sty Terrace/Link House,492.31,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vw0j48e70ec5-90b3-4ca4-b93e-67efb4dc2802_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-me4i61e310cb-5dae-4231-b2f5-2aa2391530e4_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wct4b093319c-5cac-4fac-8c2c-fa8fb72ea6f7_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-c3cze237fca8-a80f-4d49-ab8d-99e43ebe65ad_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-jrjj277317f3-e927-4ee8-8863-737ad91e5e88_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-v3dgb9b78c0d-8c98-4ca7-9c92-c8bcf47d5f79_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ttpn8d96aa0f-b5d5-469d-8f8d-f67ee8038e48_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-hdqd7b45d55f-2297-4b6f-a253-0952cb8bdbe7_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tdr25eb69c4e-9bdd-41fe-87ec-c6f0718e4af4_1154x865.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5tul55513a32-9921-4271-89e4-b4ec67b984be_1154x865.jpeg'}"
"Bandar Uda Utama, Johor Bahru",558000,Johor Bahru, Johor,4.0,"Jalan Uda Utama 6/xx, Bandar Uda utama, 81200, Johor Bahru, Johor, Bandar Uda Utama, 81200, Johor",Freehold,Unfurnished,1540.0,[],2.0,2.0,1-sty Terrace/Link House,362.34,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ix309be20b96-d38f-4502-af08-2f12b1c4aea2_1280x815.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2ocu43013779-af6b-4c14-980e-a83279b23b50_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-upjq9ab49209-f295-49b7-9031-91c412d924ed_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yzczba535a44-c296-4667-93ec-b5da7e06acbe_1280x960.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-llqld4379dbb-8967-4d99-a994-22e43c2aa6c5_1280x960.jpeg'}"
"Kampung Salak Tinggi, Sepang",348000,Sepang, Selangor,4.0,"Taman salak bakti, Kampung Salak Tinggi, 43900, Selangor",Leasehold,Unfurnished,900.0,[],2.0,2.0,1-sty Terrace/Link House,386.67,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xvp28cab0d35-b0a2-4e6f-89fe-fc0a04f40ee9_1024x768.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-chim9ad0e266-d703-428c-b972-b3a22a654348_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gzsy7e8e607c-646a-485b-a67b-772f39d601f7_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ol9g79e0b63c-926a-49b2-bdd1-76f6b03717f7_768x1024.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-v1x27c5b43fa-d9af-4b69-81af-34574f9482bf_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-cxnqd2594427-42b0-49bb-807a-73396589ce7a_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tsxjfbead7da-a803-4c86-a7f9-e51d155a7d49_1024x768.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-oa4g02ff7aa8-22fd-48d3-b739-12020ccca0a3_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g9jh41999895-c69d-40af-ae7d-feef041b1b67_1024x768.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-radyb0718be0-c8ab-42bd-a898-935bf71e3dc9_1080x720.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-b3bs494916d2-c6ee-42c0-9c77-70fe934e3f7e_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8anq896eea88-3651-4eaa-a5c2-9d997e330164_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qsa968d67e73-edcb-4291-bebf-d79634689799_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-y28q1f431ea5-b1fd-4e30-8b41-95f277ca54ce_1024x768.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2t8n3c79322d-6027-4aff-a102-d2ec454e5ba9_866x1154.png'}"
"Taman Johor, Johor Bahru",458000,Johor Bahru, Johor,3.0,"Jalan Ledang, Taman Johor, 81200, Johor",Freehold,Unfurnished,1540.0,[],3.0,,1-sty Terrace/Link House,297.4,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-u5aea0fa505a-611b-4343-a025-38a69f7b778c_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-snvu12650e07-7eb1-4be2-b142-caab0c999ce0_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kakgcfc36760-60b9-49d5-9bf7-a5891c691644_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vmdx6b53a22c-a954-4202-a9d0-28cdd1b494d4_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-wt6140cdd65f-f2eb-4d49-91ba-af4c126de06b_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7qqt1d315e95-9246-4b02-a2db-63e1dfa70149_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ii6502fc2942-8d3d-4ab6-8e68-929c75e0bbaf_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0d8c53636871-379d-449d-b401-9bcd7037e221_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-a7vcbe61286c-5afc-4216-aa5d-27056268d6d9_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-q5ivc21b48f2-9f21-43ac-8105-3217d40e7057_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i3eaa0e74692-844d-45ff-9388-fcc2eab84392_1920x2560.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7e75d6bd6604-9c77-4ed4-b877-e464c210b614_2560x1920.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2uqf1ee692d7-7ff8-496d-a7ec-260940a35676_1920x2560.jpeg'}"
"Desa Jaya Kepong, Kepong",495000,Kepong, Kuala Lumpur,3.0,"Desa Jaya Kepong, 52100, Kuala Lumpur",Leasehold,Unfurnished,1500.0,['Parking'],2.0,3.0,1-sty Terrace/Link House,330.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-0ymv2e2c12eb-c637-498a-a12c-afb0859414e4_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mjp8613a190a-4c93-482d-846e-4ea287d226e6_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rwuv0c717505-cce9-46ca-872a-5cb56094a688_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ky0qa1a23875-a03e-4e69-bfa0-43d4e7f869fe_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-v8mh43dda7ce-93e4-424e-ba8b-c2fb830df127_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-z6e458f6af60-efd1-4eca-93aa-1c6900b43b8b_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6iov3f003dd8-c6ab-43cb-8c41-a8c1d40a6d5a_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ulytb2878820-c87f-45ed-abc2-71e664228d62_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-8mu7ca505771-53b9-4137-ade1-f0e49f58a544_810x1080.jpeg'}"
"Taman Bukit Maluri Kepong Baru Bandar Menjalara 62, Kepong",790000,Kepong, Kuala Lumpur,3.0,"Taman Sri Bintang, Kepong Uphill , Bandar Sri Damansara Taman Petaling, Taman Bukit Maluri Kepong Baru Bandar Menjalara 62, 52100, Kuala Lumpur",Leasehold,Unfurnished,1870.0,[],2.0,3.0,1-sty Terrace/Link House,422.46,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-2u77083cc037-471b-4e42-9b6e-4a8852853940_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ufu8588f2b53-3078-453a-ba01-3e99ec47279b_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g95md8060c64-802a-41d6-ac61-2ca3498e46bb_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mv9mbb600127-fc23-40bd-9a06-46c342a7dda1_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-htuz2be12933-ba3a-4847-a550-8cf95041abf8_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ffhw470ad5da-1ece-492e-886c-ccadb96e43e2_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-icoeae81edb5-0dc0-40c1-a69a-902ed3512c95_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-gxq229b34580-3fe2-4a9d-ae1e-afab125b856a_1080x810.jpeg'}"
Bandar Sri Damansara,710000,Bandar Sri Damansara, Selangor,3.0,"Sd 2, SD 2, Jalan Angsana SD 2, Bandar Sri Damansara, 52200 Selangor, 52200, Selangor",Freehold,Partly Furnished,1300.0,[],2.0,,1-sty Terrace/Link House,546.15,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-au8lb6407e67-1a45-4b77-a251-6b0eff3d4c71_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-uzxk2fd2b532-fdbe-4fd4-9eea-9654aa015e86_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i867f587a0da-44ed-4fbd-8937-dbcbe9c0842c_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-b3k2b25a4032-9934-4541-96e4-dd676802aa8a_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6eujf16da923-3db4-44f7-b225-ee6ec34d6f0c_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eauoe3c9ef85-cc25-4e02-87c3-c967df953f66_1153x865.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3yxg9fe2a910-7127-4bea-b7d7-201a7f4938f6_866x1154.png', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5s1035a2879d-2ddb-47e8-8b8b-88230c245069_1153x865.png'}"
"Puncak Jalil, Seri Kembangan",560000,Seri Kembangan, Selangor,4.0,"Seri Kembangan, Puncak Jalil, 43300, Selangor",Leasehold,Unfurnished,1400.0,[],3.0,2.0,1-sty Terrace/Link House,400.0,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dtye89df40e3-05ac-4e2b-85a3-dfcc7cd484cb_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-evxmf623468f-1df0-411a-87d3-5bfba268045d_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5ydb4958b3a2-e686-44a7-9248-b26a569a2a34_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-7mab46b82401-d237-4a9f-a893-f3eb127fe92a_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-kcj43a1966d6-7ace-43e7-a131-91dd5d6cf723_866x1154.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-tk3k1df1bc31-9648-451b-8d93-311e9fdceac0_866x1154.jpeg'}"
"Taman Seri Melati Selayang Melati , Selayang Jaya, Selayang",590000,Selayang, Selangor,3.0,"Taman Seri Melati Selayang Melati , Selayang Jaya Taman Bidara Taman Ehsan Kepong Taman Desa Jaya Kepong Sri Gombak, Taman Seri Melati Selayang Melati , Selayang Jaya, 68100, Selangor",Freehold,Unfurnished,1650.0,[],2.0,4.0,1-sty Terrace/Link House,357.58,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-xvsr3ae3348e-abe3-4e3e-904a-648d1fb9d3b9_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-g9lj8428dc3f-f6bd-4b1a-a6ce-bac9a00d4388_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-rhzyc2e5c327-200e-45e3-83c6-a0d4ee8d7378_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-liou5de3d16d-017a-4b7c-a0bd-ef8294a4f9fd_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-otjn9cd42496-531f-4218-8c02-3a45db3881a2_810x1080.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-11a40d0a5a01-cd2b-4a7b-93a5-8ee834ab44a0_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-6a6914ba4683-8dbd-4bf3-8c81-36949abb6dc5_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-crv9a1a6c4aa-3399-40c6-862e-5fec1736b0c9_810x1080.jpeg'}"
"Sutera Damansara,The Vale,Damansara Damai 2 Storey, Damansara Damai",890000,Damansara Damai, Selangor,4.0,"Sutera Damansara,The Vale,Damansara Damai 2 Storey, Selangor",Leasehold,Partly Furnished,2350.0,"['Kitchen Cabinet', 'Air Conditioner', 'Parking', 'Playground', 'Business Centre', 'Retail Stores', '24-Hour Security', 'Cafe']",3.0,2.0,1-sty Terrace/Link House,378.72,"{'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mk7icbe6729e-f49f-4af7-96b0-6f34a4d68532_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-fa5b268c0dd8-701a-4d35-b0f3-ec6944264a40_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-dnmxf3a83021-34c4-4d9d-a8c7-519a1359abd3_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-9qn8c24b037f-1178-4801-b2bd-0fc5397bd571_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-l0icedec2cac-5798-4d0b-9f86-e2691ce8b2db_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-5m4194ca254d-20e4-4118-8cda-ff9cea7310af_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-r23n8e0011f3-dae6-414f-842c-d4abaf44d27a_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-d6omc92276b0-9b57-429f-b695-ec736dab43d2_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-bzaa64eab1d0-613a-4620-9bf4-a67d65cc252c_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-mh4m90059b81-4693-40dc-a720-1e789a6b0318_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-i025a8bb7212-8f6c-46c7-b975-377d29dca32f_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-4wzl97e98d05-e60a-4802-b9ed-7759531395ae_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-e2l72ca2a203-d4fa-405e-b1bf-d1fa1ed2250c_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-ukxiee272442-801e-4754-95a6-9f81297193b1_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-yimx8b58d57d-ace8-4651-bde5-18a10654067b_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vrux9a11b49b-d1f2-45d1-9731-7c1e673613ea_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-3evx896624f0-c402-4c6e-8103-d293f51906e1_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-vsa1b59c59b1-1f07-4cf9-a9fe-a546c74300a6_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-eeatab9128bc-0f06-48f0-9455-42589073b9ae_1080x810.jpeg', 'https://img.iproperty.com.my/my-iproperty/premium/256x100000-fit/w-qkdr7f7a1db0-0277-49b2-b207-09ea1fddd3ca_1080x810.jpeg'}"
